Source,Target,Label
http://example.org/entity//m/0jz9f,http://example.org/entity//m/0gyv0b4,http://example.org/relation//award/award_nominee/award_nominations./award/award_nomination/nominated_for
http://example.org/entity//m/01c333,http://example.org/entity//m/09nqf,http://example.org/relation//education/university/local_tuition./measurement_unit/dated_money_value/currency
http://example.org/entity//m/0bbgvp,http://example.org/entity//m/02wzv,http://example.org/relation//film/film/featured_film_locations
http://example.org/entity//m/02l4pj,http://example.org/entity//m/03v3xp,http://example.org/relation//award/award_nominee/award_nominations./award/award_nomination/award_nominee
http://example.org/entity//m/06r3p2,http://example.org/entity//m/02zsn,http://example.org/relation//people/person/gender
http://example.org/entity//m/0psss,http://example.org/entity//m/05qtj,http://example.org/relation//music/artist/origin
http://example.org/entity//m/06ylv0,http://example.org/entity//m/02nzb8,http://example.org/relation//soccer/football_team/current_roster./soccer/football_roster_position/position
http://example.org/entity//m/0cj36c,http://example.org/entity//m/083chw,http://example.org/relation//award/award_winner/awards_won./award/award_honor/award_winner
http://example.org/entity//m/04zqmj,http://example.org/entity//m/0315q3,http://example.org/relation//award/award_nominee/award_nominations./award/award_nomination/award_nominee
http://example.org/entity//m/0gjc4d3,http://example.org/entity//m/09c7w0,http://example.org/relation//film/film/country
http://example.org/entity//m/09p2r9,http://example.org/entity//m/0c3p7,http://example.org/relation//award/award_ceremony/awards_presented./award/award_honor/award_winner
http://example.org/entity//m/02qcr,http://example.org/entity//m/09blyk,http://example.org/relation//film/film/genre
http://example.org/entity//m/02w59b,http://example.org/entity//m/083jv,http://example.org/relation//sports/sports_team/colors
http://example.org/entity//m/0pd64,http://example.org/entity//m/06qc5,http://example.org/relation//film/film/other_crew./film/film_crew_gig/film_crew_role
http://example.org/entity//m/07s9rl0,http://example.org/entity//m/016yxn,http://example.org/relation//media_common/netflix_genre/titles
http://example.org/entity//m/0171cm,http://example.org/entity//m/0fh694,http://example.org/relation//award/award_nominee/award_nominations./award/award_nomination/nominated_for
http://example.org/entity//m/03qgjwc,http://example.org/entity//m/01p7yb,http://example.org/relation//award/award_category/winners./award/award_honor/award_winner
http://example.org/entity//m/02ppm4q,http://example.org/entity//m/01fwf1,http://example.org/relation//award/award_category/winners./award/award_honor/award_winner
http://example.org/entity//m/01m5m5b,http://example.org/entity//m/0gqz2,http://example.org/relation//award/award_nominee/award_nominations./award/award_nomination/award
http://example.org/entity//m/01xcr4,http://example.org/entity//m/0kyk,http://example.org/relation//people/person/profession
http://example.org/entity//m/0gqz2,http://example.org/entity//m/09d38d,http://example.org/relation//award/award_category/nominees./award/award_nomination/nominated_for
http://example.org/entity//m/0bh8x1y,http://example.org/entity//m/02z2xdf,http://example.org/relation//film/film/executive_produced_by
http://example.org/entity//m/084qpk,http://example.org/entity//m/08mbj5d,http://example.org/relation//common/topic/webpage./common/webpage/category
http://example.org/entity//m/06myp,http://example.org/entity//m/03_gx,http://example.org/relation//people/person/religion
http://example.org/entity//m/01lz4tf,http://example.org/entity//m/06_kh,http://example.org/relation//people/person/places_lived./people/place_lived/location
http://example.org/entity//m/043tz0c,http://example.org/entity//m/07s9rl0,http://example.org/relation//film/film/genre
http://example.org/entity//m/01vng3b,http://example.org/entity//m/0342h,http://example.org/relation//music/group_member/membership./music/group_membership/role
http://example.org/entity//m/01g6l8,http://example.org/entity//m/02l6h,http://example.org/relation//education/university/domestic_tuition./measurement_unit/dated_money_value/currency
http://example.org/entity//m/0l14j_,http://example.org/entity//m/05r5c,http://example.org/relation//music/performance_role/regular_performances./music/group_membership/role
http://example.org/entity//m/07fq1y,http://example.org/entity//m/02wgk1,http://example.org/relation//film/actor/film./film/performance/film
http://example.org/entity//m/017y26,http://example.org/entity//m/04gb7,http://example.org/relation//education/educational_institution/students_graduates./education/education/major_field_of_study
